สาขาวิชาที่ใช้เกณฑ์,จำนวนรับ,เงื่อนไขขั้นต่ำ,เกณฑ์การพิจารณา
วศ.บ. สาขาวิชาวิศวกรรมคอมพิวเตอร์ (ภาษาไทย ปกติ),35,"1. TGAT ความถนัดทั่วไป ไม่ต่ำกว่า 1.00 คะแนน
2. TPAT3 ความถนัดวิทยาศาสตร์ เทคโนโลยี วิศวกรรมศาสตร์ ไม่ต่ำกว่า 1.00 คะแนน
3. A-Level Math1 คณิตศาสตร์ประยุกต์ 1 ไม่ต่ำกว่า 1.00 คะแนน
4. A-Level Phy ฟิสิกส์ ไม่ต่ำกว่า 1.00 คะแนน","1. TGAT ความถนัดทั่วไป สัดส่วน 20.00
2. TPAT3 ความถนัดวิทยาศาสตร์ เทคโนโลยี วิศวกรรมศาสตร์ สัดส่วน 45.00
3. A-Level Math1 คณิตศาสตร์ประยุกต์ 1 สัดส่วน 20.00
4. A-Level Phy ฟิสิกส์ สัดส่วน 15.00"
วศ.บ. สาขาวิชาวิศวกรรมเคมี (ภาษาไทย ปกติ),10,"1. TGAT ความถนัดทั่วไป ไม่ต่ำกว่า 1.00 คะแนน
2. TPAT3 ความถนัดวิทยาศาสตร์ เทคโนโลยี วิศวกรรมศาสตร์ ไม่ต่ำกว่า 1.00 คะแนน
3. A-Level Math1 คณิตศาสตร์ประยุกต์ 1 ไม่ต่ำกว่า 1.00 คะแนน
4. A-Level Phy ฟิสิกส์ ไม่ต่ำกว่า 1.00 คะแนน","1. TGAT1 การสื่อสารภาษาอังกฤษ สัดส่วน 20.00
2. TPAT3 ความถนัดวิทยาศาสตร์ เทคโนโลยี วิศวกรรมศาสตร์ สัดส่วน 30.00
3. A-Level Math1 คณิตศาสตร์ประยุกต์ 1 สัดส่วน 25.00
4. A-Level Phy ฟิสิกส์ สัดส่วน 25.00"
วศ.บ. สาขาวิชาวิศวกรรมเคมี (ภาษาไทย พิเศษ),32,"1. TGAT ความถนัดทั่วไป ไม่ต่ำกว่า 1.00 คะแนน
2. TPAT3 ความถนัดวิทยาศาสตร์ เทคโนโลยี วิศวกรรมศาสตร์ ไม่ต่ำกว่า 1.00 คะแนน
3. A-Level Math1 คณิตศาสตร์ประยุกต์ 1 ไม่ต่ำกว่า 1.00 คะแนน
4. A-Level Phy ฟิสิกส์ ไม่ต่ำกว่า 1.00 คะแนน","1. TGAT1 การสื่อสารภาษาอังกฤษ สัดส่วน 20.00
2. TPAT3 ความถนัดวิทยาศาสตร์ เทคโนโลยี วิศวกรรมศาสตร์ สัดส่วน 30.00
3. A-Level Math1 คณิตศาสตร์ประยุกต์ 1 สัดส่วน 25.00
4. A-Level Phy ฟิสิกส์ สัดส่วน 25.00"
วศ.บ. สาขาวิชาวิศวกรรมเครื่องกล (ภาษาไทย ปกติ),20,"1. TGAT1 การสื่อสารภาษาอังกฤษ ไม่ต่ำกว่า 1.00 คะแนน
2. TGAT2 การคิดอย่างมีเหตุผล ไม่ต่ำกว่า 1.00 คะแนน
3. TPAT3 ความถนัดวิทยาศาสตร์ เทคโนโลยี วิศวกรรมศาสตร์ ไม่ต่ำกว่า 1.00 คะแนน
4. A-Level Math1 คณิตศาสตร์ประยุกต์ 1 ไม่ต่ำกว่า 1.00 คะแนน
5. A-Level Phy ฟิสิกส์ ไม่ต่ำกว่า 1.00 คะแนน","1. TGAT1 การสื่อสารภาษาอังกฤษ สัดส่วน 20.00
2. TGAT2 การคิดอย่างมีเหตุผล สัดส่วน 20.00
3. TPAT3 ความถนัดวิทยาศาสตร์ เทคโนโลยี วิศวกรรมศาสตร์ สัดส่วน 20.00
4. A-Level Math1 คณิตศาสตร์ประยุกต์ 1 สัดส่วน 20.00
5. A-Level Phy ฟิสิกส์ สัดส่วน 20.00"
วศ.บ. สาขาวิชาวิศวกรรมเครื่องกล (ภาษาไทย พิเศษ),34,"1. TGAT1 การสื่อสารภาษาอังกฤษ ไม่ต่ำกว่า 1.00 คะแนน
2. TGAT2 การคิดอย่างมีเหตุผล ไม่ต่ำกว่า 1.00 คะแนน
3. TPAT3 ความถนัดวิทยาศาสตร์ เทคโนโลยี วิศวกรรมศาสตร์ ไม่ต่ำกว่า 1.00 คะแนน
4. A-Level Math1 คณิตศาสตร์ประยุกต์ 1 ไม่ต่ำกว่า 1.00 คะแนน
5. A-Level Phy ฟิสิกส์ ไม่ต่ำกว่า 1.00 คะแนน","1. TGAT1 การสื่อสารภาษาอังกฤษ สัดส่วน 20.00
2. TGAT2 การคิดอย่างมีเหตุผล สัดส่วน 20.00
3. TPAT3 ความถนัดวิทยาศาสตร์ เทคโนโลยี วิศวกรรมศาสตร์ สัดส่วน 20.00
4. A-Level Math1 คณิตศาสตร์ประยุกต์ 1 สัดส่วน 20.00
5. A-Level Phy ฟิสิกส์ สัดส่วน 20.00"
วศ.บ. สาขาวิชาวิศวกรรมไฟฟ้าเครื่องกลการผลิต (ภาษาไทย ปกติ),5,"1. TGAT1 การสื่อสารภาษาอังกฤษ ไม่ต่ำกว่า 1.00 คะแนน
2. TGAT2 การคิดอย่างมีเหตุผล ไม่ต่ำกว่า 1.00 คะแนน
3. TPAT3 ความถนัดวิทยาศาสตร์ เทคโนโลยี วิศวกรรมศาสตร์ ไม่ต่ำกว่า 1.00 คะแนน
4. A-Level Math1 คณิตศาสตร์ประยุกต์ 1 ไม่ต่ำกว่า 1.00 คะแนน
5. A-Level Phy ฟิสิกส์ ไม่ต่ำกว่า 1.00 คะแนน","1. TGAT1 การสื่อสารภาษาอังกฤษ สัดส่วน 20.00
2. TGAT2 การคิดอย่างมีเหตุผล สัดส่วน 20.00
3. TPAT3 ความถนัดวิทยาศาสตร์ เทคโนโลยี วิศวกรรมศาสตร์ สัดส่วน 20.00
4. A-Level Math1 คณิตศาสตร์ประยุกต์ 1 สัดส่วน 20.00
5. A-Level Phy ฟิสิกส์ สัดส่วน 20.00"
วศ.บ. สาขาวิชาวิศวกรรมไฟฟ้าเครื่องกลการผลิต (ภาษาไทย พิเศษ),7,"1. TGAT1 การสื่อสารภาษาอังกฤษ ไม่ต่ำกว่า 1.00 คะแนน
2. TGAT2 การคิดอย่างมีเหตุผล ไม่ต่ำกว่า 1.00 คะแนน
3. TPAT3 ความถนัดวิทยาศาสตร์ เทคโนโลยี วิศวกรรมศาสตร์ ไม่ต่ำกว่า 1.00 คะแนน
4. A-Level Math1 คณิตศาสตร์ประยุกต์ 1 ไม่ต่ำกว่า 1.00 คะแนน
5. A-Level Phy ฟิสิกส์ ไม่ต่ำกว่า 1.00 คะแนน","1. TGAT1 การสื่อสารภาษาอังกฤษ สัดส่วน 20.00
2. TGAT2 การคิดอย่างมีเหตุผล สัดส่วน 20.00
3. TPAT3 ความถนัดวิทยาศาสตร์ เทคโนโลยี วิศวกรรมศาสตร์ สัดส่วน 20.00
4. A-Level Math1 คณิตศาสตร์ประยุกต์ 1 สัดส่วน 20.00
5. A-Level Phy ฟิสิกส์ สัดส่วน 20.00"
วศ.บ. สาขาวิชาวิศวกรรมไฟฟ้า (ภาษาไทย ปกติ),20,"1. TGAT1 การสื่อสารภาษาอังกฤษ ไม่ต่ำกว่า 1.00 คะแนน
2. TGAT2 การคิดอย่างมีเหตุผล ไม่ต่ำกว่า 1.00 คะแนน
3. TPAT3 ความถนัดวิทยาศาสตร์ เทคโนโลยี วิศวกรรมศาสตร์ ไม่ต่ำกว่า 1.00 คะแนน
4. A-Level Math1 คณิตศาสตร์ประยุกต์ 1 ไม่ต่ำกว่า 1.00 คะแนน
5. A-Level Phy ฟิสิกส์ ไม่ต่ำกว่า 1.00 คะแนน","1. TGAT1 การสื่อสารภาษาอังกฤษ สัดส่วน 20.00
2. TGAT2 การคิดอย่างมีเหตุผล สัดส่วน 20.00
3. TPAT3 ความถนัดวิทยาศาสตร์ เทคโนโลยี วิศวกรรมศาสตร์ สัดส่วน 20.00
4. A-Level Math1 คณิตศาสตร์ประยุกต์ 1 สัดส่วน 20.00
5. A-Level Phy ฟิสิกส์ สัดส่วน 20.00"
วศ.บ. สาขาวิชาวิศวกรรมไฟฟ้า (ภาษาไทย พิเศษ),30,"1. TGAT1 การสื่อสารภาษาอังกฤษ ไม่ต่ำกว่า 1.00 คะแนน
2. TGAT2 การคิดอย่างมีเหตุผล ไม่ต่ำกว่า 1.00 คะแนน
3. TPAT3 ความถนัดวิทยาศาสตร์ เทคโนโลยี วิศวกรรมศาสตร์ ไม่ต่ำกว่า 1.00 คะแนน
4. A-Level Math1 คณิตศาสตร์ประยุกต์ 1 ไม่ต่ำกว่า 1.00 คะแนน
5. A-Level Phy ฟิสิกส์ ไม่ต่ำกว่า 1.00 คะแนน","1. TGAT1 การสื่อสารภาษาอังกฤษ สัดส่วน 20.00
2. TGAT2 การคิดอย่างมีเหตุผล สัดส่วน 20.00
3. TPAT3 ความถนัดวิทยาศาสตร์ เทคโนโลยี วิศวกรรมศาสตร์ สัดส่วน 20.00
4. A-Level Math1 คณิตศาสตร์ประยุกต์ 1 สัดส่วน 20.00
5. A-Level Phy ฟิสิกส์ สัดส่วน 20.00"
วศ.บ. สาขาวิชาวิศวกรรมโยธา (ภาษาไทย ปกติ),5,"1. TGAT1 การสื่อสารภาษาอังกฤษ ไม่ต่ำกว่า 1.00 คะแนน
2. TGAT2 การคิดอย่างมีเหตุผล ไม่ต่ำกว่า 1.00 คะแนน
3. TPAT3 ความถนัดวิทยาศาสตร์ เทคโนโลยี วิศวกรรมศาสตร์ ไม่ต่ำกว่า 1.00 คะแนน
4. A-Level Math1 คณิตศาสตร์ประยุกต์ 1 ไม่ต่ำกว่า 1.00 คะแนน
5. A-Level Phy ฟิสิกส์ ไม่ต่ำกว่า 1.00 คะแนน","1. TGAT1 การสื่อสารภาษาอังกฤษ สัดส่วน 20.00
2. TGAT2 การคิดอย่างมีเหตุผล สัดส่วน 20.00
3. TPAT3 ความถนัดวิทยาศาสตร์ เทคโนโลยี วิศวกรรมศาสตร์ สัดส่วน 20.00
4. A-Level Math1 คณิตศาสตร์ประยุกต์ 1 สัดส่วน 20.00
5. A-Level Phy ฟิสิกส์ สัดส่วน 20.00"
