ลำดับ,คณะ,สาขาวิชา,จำนวนรับ,ว่าง,เงื่อนไขขั้นต่ำ,เกณฑ์การพิจารณา,รหัสคณะ,ประเภท,รหัสหลักสูตร,แหล่งที่มา
,คณะวิศวกรรมศาสตร์,วศ.บ. สาขาวิชาวิศวกรรมเคมี (ภาษาไทย พิเศษ),2,,"1. กำลังศึกษาหรือสำเร็จการศึกษาชั้oมัธยมศึกษาปีที่ 6 หรือเทียบเท่า และต้องเป็นบุตร (บุตรโดยกำเนิดหรือบุตรบุญธรรมตามกฎหมาย) ของบุคคลดังต่อไปนี้ ข้อใดข้อหนึ่ง1.1) บุคลากรประจำที่ปฏิบัติงานในมหาวิทยาลัยเกษตรศาสตร์ มาไม่ต่ำกว่า 5 ปี และยังปฏิบัติงานอยู่ ณ ปัจจุบัน (ณ วันที่รับสมัคร)1.2) นิสิตเก่าที่สำเร็จการศึกษาจากมหาวิทยาลัยเกษตรศาสตร์
2. ผลการเรียนเฉลี่ยสะสม (GPAX) 5 ภาคเรียน ไม่ต่ำกว่า 3.00
3. หน่วยกิตกลุ่มสาระการเรียนรู้คณิตศาสตร์ ไม่ต่ำกว่า 12.00 หน่วยกิต
4. หน่วยกิตกลุ่มสาระการเรียนรู้วิทยาศาสตร์ ไม่ต่ำกว่า 22.00 หน่วยกิต
5. หน่วยกิตกลุ่มสาระการเรียนรู้ภาษาต่างประเทศ ไม่ต่ำกว่า 9.00 หน่วยกิต
6. ผลการเรียนเฉลี่ยรวมในกลุ่มสาระการเรียนรู้คณิตศาสตร์ วิทยาศาสตร์และเทคโนโลยี และภาษาอังกฤษ รวม 5 ภาคเรียน ไม่ต่ำกว่า 3.00
7. TGAT1 การสื่อสารภาษาอังกฤษ ไม่ต่ำกว่า 1.00 คะแนน
8. TPAT3 ความถนัดวิทยาศาสตร์ เทคโนโลยี วิศวกรรมศาสตร์ ไม่ต่ำกว่า 1.00 คะแนน
9. A-Level Math1 คณิตศาสตร์ประยุกต์ 1 ไม่ต่ำกว่า 1.00 คะแนน
10. A-Level Phy ฟิสิกส์ ไม่ต่ำกว่า 1.00 คะแนน
11. A-Level Chem เคมี ไม่ต่ำกว่า 1.00 คะแนน
12. หมายเหตุ ภาวะตาบอดสี จะเป็นอุปสรรคต่อการศึกษาและการประกอบอาชีพวิศวกรรมเคมีเมื่อสำเร็จการศึกษา","1. TGAT1 การสื่อสารภาษาอังกฤษ สัดส่วน 20.00
2. TPAT3 ความถนัดวิทยาศาสตร์ เทคโนโลยี วิศวกรรมศาสตร์ สัดส่วน 30.00
3. A-Level Math1 คณิตศาสตร์ประยุกต์ 1 สัดส่วน 20.00
4. A-Level Phy ฟิสิกส์ สัดส่วน 20.00
5. A-Level Chem เคมี สัดส่วน 10.00
6. การสอบสัมภาษณ์",,,,https://admission.ku.ac.th/majors/project/14/
,คณะวิศวกรรมศาสตร์,วศ.บ. สาขาวิชาวิศวกรรมเครื่องกล (นานาชาติ),10,,"1. กำลังศึกษาหรือสำเร็จการศึกษาชั้นมัธยมศึกษาปีที่ 6 หรือเทียบเท่า และต้องเป็นบุตร (บุตรโดยกำเนิดหรือบุตรบุญธรรมตามกฎหมาย) ของบุคคลดังต่อไปนี้ ข้อใดข้อหนึ่ง1.1) บุคลากรประจำที่ปฏิบัติงานในมหาวิทยาลัยเกษตรศาสตร์ มาไม่ต่ำกว่า 5 ปี และยังปฏิบัติงานอยู่ ณ ปัจจุบัน (ณ วันที่รับสมัคร)1.2) นิสิตเก่าที่สำเร็จการศึกษาจากมหาวิทยาลัยเกษตรศาสตร์
2. เรียนกลุ่มสาระการเรียนรู้วิทยาศาสตร์และเทคโนโลยี วิชาพื้นฐานและวิชาเพิ่มเติม รวมกัน ไม่ต่ำกว่า 22.00 หน่วยกิต
3. เรียนกลุ่มสาระการเรียนรู้คณิตศาสตรื วิชาพื้นฐานและวิชาเพิ่มเติม รวมกัน ไม่ต่ำกว่า 12.00 หน่วยกิต
4. เรียนกลุ่มสาระการเรียนรู้ภาษาต่างประเทศ(ภาษาอังกฤษ) วิชาพื้นฐานและวิชาเพิ่มเติม รวมกัน ไม่ต่ำกว่า 9.00 หน่วยกิต
5. ผลการเรียนเฉลี่ยสะสม (GPAX) 5 ภาคเรียน ไม่ต่ำกว่า 2.75
6. TGAT1 การสื่อสารภาษาอังกฤษ ไม่ต่ำกว่า 1.00 คะแนน
7. TPAT3 ความถนัดวิทยาศาสตร์ เทคโนโลยี วิศวกรรมศาสตร์ ไม่ต่ำกว่า 1.00 คะแนน
8. A-Level Math1 คณิตศาสตร์ประยุกต์ 1 ไม่ต่ำกว่า 1.00 คะแนน
9. A-Level Phy ฟิสิกส์ ไม่ต่ำกว่า 1.00 คะแนน","1. TGAT1 การสื่อสารภาษาอังกฤษ สัดส่วน 20.00
2. TPAT3 ความถนัดวิทยาศาสตร์ เทคโนโลยี วิศวกรรมศาสตร์ สัดส่วน 25.00
3. A-Level Math1 คณิตศาสตร์ประยุกต์ 1 สัดส่วน 30.00
4. A-Level Phy ฟิสิกส์ สัดส่วน 25.00
5. การสอบสัมภาษณ์เป็นภาษาอังกฤษ",,,,https://admission.ku.ac.th/majors/project/14/
,คณะวิศวกรรมศาสตร์,วศ.บ. สาขาวิชาวิศวกรรมการผลิตดิจิทัลและการบูรณาการหุ่นยนต์ (นานาชาติ),2,,"1. กำลังศึกษาหรือสำเร็จการศึกษาชั้นมัธยมศึกษาปีที่ 6 หรือเทียบเท่า และต้องเป็นบุตร (บุตรโดยกำเนิดหรือบุตรบุญธรรมตามกฎหมาย) ของบุคคลดังต่อไปนี้ ข้อใดข้อหนึ่ง1.1) บุคลากรประจำที่ปฏิบัติงานในมหาวิทยาลัยเกษตรศาสตร์ มาไม่ต่ำกว่า 5 ปี และยังปฏิบัติงานอยู่ ณ ปัจจุบัน (ณ วันที่รับสมัคร)1.2) นิสิตเก่าที่สำเร็จการศึกษาจากมหาวิทยาลัยเกษตรศาสตร์
2. เรียนกลุ่มสาระการเรียนรู้วิทยาศาสตร์และเทคโนโลยี วิชาพื้นฐานและวิชาเพิ่มเติม รวมกัน ไม่ต่ำกว่า 22.00 หน่วยกิต
3. เรียนกลุ่มสาระการเรียนรู้คณิตศาสตรื วิชาพื้นฐานและวิชาเพิ่มเติม รวมกัน ไม่ต่ำกว่า 12.00 หน่วยกิต
4. เรียนกลุ่มสาระการเรียนรู้ภาษาต่างประเทศ(ภาษาอังกฤษ) วิชาพื้นฐานและวิชาเพิ่มเติม รวมกัน ไม่ต่ำกว่า 9.00 หน่วยกิต
5. ผลการเรียนเฉลี่ยสะสม (GPAX) 5 ภาคเรียน ไม่ต่ำกว่า 2.75
6. TGAT1 การสื่อสารภาษาอังกฤษ ไม่ต่ำกว่า 1.00 คะแนน
7. TPAT3 ความถนัดวิทยาศาสตร์ เทคโนโลยี วิศวกรรมศาสตร์ ไม่ต่ำกว่า 1.00 คะแนน
8. A-Level Math1 คณิตศาสตร์ประยุกต์ 1 ไม่ต่ำกว่า 1.00 คะแนน
9. A-Level Phy ฟิสิกส์ ไม่ต่ำกว่า 1.00 คะแนน","1. TGAT1 การสื่อสารภาษาอังกฤษ สัดส่วน 20.00
2. TPAT3 ความถนัดวิทยาศาสตร์ เทคโนโลยี วิศวกรรมศาสตร์ สัดส่วน 25.00
3. A-Level Math1 คณิตศาสตร์ประยุกต์ 1 สัดส่วน 30.00
4. A-Level Phy ฟิสิกส์ สัดส่วน 25.00
5. การสอบสัมภาษณ์เป็นภาษาอังกฤษ",,,,https://admission.ku.ac.th/majors/project/14/
,คณะวิศวกรรมศาสตร์,วศ.บ. สาขาวิชาวิศวกรรมโยธา (ภาษาต่างประเทศ),1,,"1. กำลังศึกษาหรือสำเร็จการศึกษาชั้นมัธยมศึกษาปีที่ 6 หรือเทียบเท่า และต้องเป็นบุตร (บุตรโดยกำเนิดหรือบุตรบุญธรรมตามกฎหมาย) ของบุคคลดังต่อไปนี้ ข้อใดข้อหนึ่ง1.1) บุคลากรประจำที่ปฏิบัติงานในมหาวิทยาลัยเกษตรศาสตร์ มาไม่ต่ำกว่า 5 ปี และยังปฏิบัติงานอยู่ ณ ปัจจุบัน (ณ วันที่รับสมัคร)1.2) นิสิตเก่าที่สำเร็จการศึกษาจากมหาวิทยาลัยเกษตรศาสตร์
2. เรียนกลุ่มสาระการเรียนรู้วิทยาศาสตร์และเทคโนโลยี วิชาพื้นฐานและวิชาเพิ่มเติม รวมกัน ไม่ต่ำกว่า 22.00 หน่วยกิต
3. เรียนกลุ่มสาระการเรียนรู้คณิตศาสตรื วิชาพื้นฐานและวิชาเพิ่มเติม รวมกัน ไม่ต่ำกว่า 12.00 หน่วยกิต
4. เรียนกลุ่มสาระการเรียนรู้ภาษาต่างประเทศ(ภาษาอังกฤษ) วิชาพื้นฐานและวิชาเพิ่มเติม รวมกัน ไม่ต่ำกว่า 9.00 หน่วยกิต
5. ผลการเรียนเฉลี่ยสะสม (GPAX) 5 ภาคเรียน ไม่ต่ำกว่า 2.75
6. TGAT1 การสื่อสารภาษาอังกฤษ ไม่ต่ำกว่า 1.00 คะแนน
7. TPAT3 ความถนัดวิทยาศาสตร์ เทคโนโลยี วิศวกรรมศาสตร์ ไม่ต่ำกว่า 1.00 คะแนน
8. A-Level Math1 คณิตศาสตร์ประยุกต์ 1 ไม่ต่ำกว่า 1.00 คะแนน
9. A-Level Phy ฟิสิกส์ ไม่ต่ำกว่า 1.00 คะแนน","1. TGAT1 การสื่อสารภาษาอังกฤษ สัดส่วน 20.00
2. TPAT3 ความถนัดวิทยาศาสตร์ เทคโนโลยี วิศวกรรมศาสตร์ สัดส่วน 25.00
3. A-Level Math1 คณิตศาสตร์ประยุกต์ 1 สัดส่วน 30.00
4. A-Level Phy ฟิสิกส์ สัดส่วน 25.00
5. การสอบสัมภาษณ์เป็นภาษาอังกฤษ",,,,https://admission.ku.ac.th/majors/project/14/
,คณะวิศวกรรมศาสตร์,วศ.บ. สาขาวิชาวิศวกรรมไฟฟ้า (ภาษาไทย ปกติ),2,,"1. กำลังศึกษาหรือสำเร็จการศึกษาชั้นมัธยมศึกษาปีที่ 6 หรือเทียบเท่า และต้องเป็นบุตร (บุตรโดยกำเนิดหรือบุตรบุญธรรมตามกฎหมาย) ของบุคคลดังต่อไปนี้ ข้อใดข้อหนึ่ง1.1) บุคลากรประจำที่ปฏิบัติงานในมหาวิทยาลัยเกษตรศาสตร์ มาไม่ต่ำกว่า 5 ปี และยังปฏิบัติงานอยู่ ณ ปัจจุบัน (ณ วันที่รับสมัคร)1.2) นิสิตเก่าที่สำเร็จการศึกษาจากมหาวิทยาลัยเกษตรศาสตร์
2. หน่วยกิตกลุ่มสาระการเรียนรู้คณิตศาสตร์ (ทั้งวิชาพื้นฐานและวิชาเพิ่มเติม) ไม่ต่ำกว่า 12.00 หน่วยกิต
3. หน่วยกิตกลุ่มสาระการเรียนรู้วิทยาศาสตร์ (ทั้งวิชาพื้นฐานและวิชาเพิ่มเติม) ไม่ต่ำกว่า 22.00 หน่วยกิต
4. หน่วยกิตกลุ่มสาระการเรียนรู้ภาษาต่างประเทศ (ภาษาอังกฤษ) วิชาพื้นฐานและวิชาเพิ่มเติม รวมกันไม่ต่ำกว่า 9 หน่วยกิต ไม่ต่ำกว่า 9.00 หน่วยกิต
5. ผลการเรียนเฉลี่ยสะสม (GPAX) 5 ภาคเรียน ไม่ต่ำกว่า 3.00
6. TGAT1 การสื่อสารภาษาอังกฤษ
7. TPAT3 ความถนัดวิทยาศาสตร์ เทคโนโลยี วิศวกรรมศาสตร์
8. A-Level Math1 คณิตศาสตร์ประยุกต์ 1
9. A-Level Phy ฟิสิกส์","1. TGAT1 การสื่อสารภาษาอังกฤษ สัดส่วน 20.00
2. TPAT3 ความถนัดวิทยาศาสตร์ เทคโนโลยี วิศวกรรมศาสตร์ สัดส่วน 25.00
3. A-Level Math1 คณิตศาสตร์ประยุกต์ 1 สัดส่วน 30.00
4. A-Level Phy ฟิสิกส์ สัดส่วน 25.00
5. การสอบสัมภาษณ์",,,,https://admission.ku.ac.th/majors/project/14/
,คณะวิศวกรรมศาสตร์,วศ.บ. สาขาวิชาวิศวกรรมเครื่องกล (ภาษาไทย ปกติ),2,,"1. กำลังศึกษาหรือสำเร็จการศึกษาชั้นมัธยมศึกษาปีที่ 6 หรือเทียบเท่า และต้องเป็นบุตร (บุตรโดยกำเนิดหรือบุตรบุญธรรมตามกฎหมาย) ของบุคคลดังต่อไปนี้ ข้อใดข้อหนึ่ง1.1) บุคลากรประจำที่ปฏิบัติงานในมหาวิทยาลัยเกษตรศาสตร์ มาไม่ต่ำกว่า 5 ปี และยังปฏิบัติงานอยู่ ณ ปัจจุบัน (ณ วันที่รับสมัคร)1.2) นิสิตเก่าที่สำเร็จการศึกษาจากมหาวิทยาลัยเกษตรศาสตร์
2. หน่วยกิตกลุ่มสาระการเรียนรู้คณิตศาสตร์ (ทั้งวิชาพื้นฐานและวิชาเพิ่มเติม) ไม่ต่ำกว่า 12.00 หน่วยกิต
3. หน่วยกิตกลุ่มสาระการเรียนรู้วิทยาศาสตร์ (ทั้งวิชาพื้นฐานและวิชาเพิ่มเติม) ไม่ต่ำกว่า 22.00 หน่วยกิต
4. หน่วยกิตกลุ่มสาระการเรียนรู้ภาษาต่างประเทศ (ภาษาอังกฤษ) วิชาพื้นฐานและวิชาเพิ่มเติม รวมกันไม่ต่ำกว่า 9 หน่วยกิต ไม่ต่ำกว่า 9.00 หน่วยกิต
5. ผลการเรียนเฉลี่ยสะสม (GPAX) 5 ภาคเรียน ไม่ต่ำกว่า 3.00
6. TGAT1 การสื่อสารภาษาอังกฤษ
7. TPAT3 ความถนัดวิทยาศาสตร์ เทคโนโลยี วิศวกรรมศาสตร์
8. A-Level Math1 คณิตศาสตร์ประยุกต์ 1
9. A-Level Phy ฟิสิกส์","1. TGAT1 การสื่อสารภาษาอังกฤษ สัดส่วน 20.00
2. TPAT3 ความถนัดวิทยาศาสตร์ เทคโนโลยี วิศวกรรมศาสตร์ สัดส่วน 25.00
3. A-Level Math1 คณิตศาสตร์ประยุกต์ 1 สัดส่วน 30.00
4. A-Level Phy ฟิสิกส์ สัดส่วน 25.00
5. การสอบสัมภาษณ์",,,,https://admission.ku.ac.th/majors/project/14/
,คณะวิศวกรรมศาสตร์,วศ.บ. สาขาวิชาวิศวกรรมไฟฟ้าเครื่องกลการผลิต (ภาษาไทย ปกติ),1,,"1. กำลังศึกษาหรือสำเร็จการศึกษาชั้นมัธยมศึกษาปีที่ 6 หรือเทียบเท่า และต้องเป็นบุตร (บุตรโดยกำเนิดหรือบุตรบุญธรรมตามกฎหมาย) ของบุคคลดังต่อไปนี้ ข้อใดข้อหนึ่ง1.1) บุคลากรประจำที่ปฏิบัติงานในมหาวิทยาลัยเกษตรศาสตร์ มาไม่ต่ำกว่า 5 ปี และยังปฏิบัติงานอยู่ ณ ปัจจุบัน (ณ วันที่รับสมัคร)1.2) นิสิตเก่าที่สำเร็จการศึกษาจากมหาวิทยาลัยเกษตรศาสตร์
2. หน่วยกิตกลุ่มสาระการเรียนรู้คณิตศาสตร์ (ทั้งวิชาพื้นฐานและวิชาเพิ่มเติม) ไม่ต่ำกว่า 12.00 หน่วยกิต
3. หน่วยกิตกลุ่มสาระการเรียนรู้วิทยาศาสตร์ (ทั้งวิชาพื้นฐานและวิชาเพิ่มเติม) ไม่ต่ำกว่า 22.00 หน่วยกิต
4. หน่วยกิตกลุ่มสาระการเรียนรู้ภาษาต่างประเทศ (ภาษาอังกฤษ) วิชาพื้นฐานและวิชาเพิ่มเติม รวมกันไม่ต่ำกว่า 9 หน่วยกิต ไม่ต่ำกว่า 9.00 หน่วยกิต
5. ผลการเรียนเฉลี่ยสะสม (GPAX) 5 ภาคเรียน ไม่ต่ำกว่า 3.00
6. TGAT1 การสื่อสารภาษาอังกฤษ
7. TPAT3 ความถนัดวิทยาศาสตร์ เทคโนโลยี วิศวกรรมศาสตร์
8. A-Level Math1 คณิตศาสตร์ประยุกต์ 1
9. A-Level Phy ฟิสิกส์","1. TGAT1 การสื่อสารภาษาอังกฤษ สัดส่วน 20.00
2. TPAT3 ความถนัดวิทยาศาสตร์ เทคโนโลยี วิศวกรรมศาสตร์ สัดส่วน 25.00
3. A-Level Math1 คณิตศาสตร์ประยุกต์ 1 สัดส่วน 30.00
4. A-Level Phy ฟิสิกส์ สัดส่วน 25.00
5. การสอบสัมภาษณ์",,,,https://admission.ku.ac.th/majors/project/14/
,คณะวิศวกรรมศาสตร์,วศ.บ. สาขาวิชาวิศวกรรมไฟฟ้า (ภาษาไทย พิเศษ),2,,"1. กำลังศึกษาหรือสำเร็จการศึกษาชั้นมัธยมศึกษาปีที่ 6 หรือเทียบเท่า และต้องเป็นบุตร (บุตรโดยกำเนิดหรือบุตรบุญธรรมตามกฎหมาย) ของบุคคลดังต่อไปนี้ ข้อใดข้อหนึ่ง1.1) บุคลากรประจำที่ปฏิบัติงานในมหาวิทยาลัยเกษตรศาสตร์ มาไม่ต่ำกว่า 5 ปี และยังปฏิบัติงานอยู่ ณ ปัจจุบัน (ณ วันที่รับสมัคร)1.2) นิสิตเก่าที่สำเร็จการศึกษาจากมหาวิทยาลัยเกษตรศาสตร์
2. หน่วยกิตกลุ่มสาระการเรียนรู้คณิตศาสตร์ (ทั้งวิชาพื้นฐานและวิชาเพิ่มเติม) รวมกัน ไม่ต่ำกว่า 12.00 หน่วยกิต
3. หน่วยกิตกลุ่มสาระการเรียนรู้วิทยาศาสตร์ (ทั้งวิชาพื้นฐานและวิชาเพิ่มเติม) รวมกัน ไม่ต่ำกว่า 22.00 หน่วยกิต
4. หน่วยกิตกลุ่มสาระการเรียนรู้ภาษาต่างประเทศ (ภาษาอังกฤษ) วิชาพื้นฐานและวิชาเพิ่มเติม รวมกัน ไม่ต่ำกว่า 9.00 หน่วยกิต
5. ผลการเรียนเฉลี่ยสะสม (GPAX) 5 ภาคเรียน ไม่ต่ำกว่า 2.75
6. TGAT1 การสื่อสารภาษาอังกฤษ ไม่ต่ำกว่า 1.00 คะแนน
7. TPAT3 ความถนัดวิทยาศาสตร์ เทคโนโลยี วิศวกรรมศาสตร์ ไม่ต่ำกว่า 1.00 คะแนน
8. A-Level Math1 คณิตศาสตร์ประยุกต์ 1 ไม่ต่ำกว่า 1.00 คะแนน
9. A-Level Phy ฟิสิกส์ ไม่ต่ำกว่า 1.00 คะแนน","1. TGAT1 การสื่อสารภาษาอังกฤษ สัดส่วน 20.00
2. TPAT3 ความถนัดวิทยาศาสตร์ เทคโนโลยี วิศวกรรมศาสตร์ สัดส่วน 25.00
3. A-Level Math1 คณิตศาสตร์ประยุกต์ 1 สัดส่วน 30.00
4. A-Level Phy ฟิสิกส์ สัดส่วน 25.00
5. การสอบสัมภาษณ์",,,,https://admission.ku.ac.th/majors/project/14/
,คณะวิศวกรรมศาสตร์,วศ.บ. สาขาวิชาวิศวกรรมเครื่องกล (ภาษาไทย พิเศษ),2,,"1. กำลังศึกษาหรือสำเร็จการศึกษาชั้นมัธยมศึกษาปีที่ 6 หรือเทียบเท่า และต้องเป็นบุตร (บุตรโดยกำเนิดหรือบุตรบุญธรรมตามกฎหมาย) ของบุคคลดังต่อไปนี้ ข้อใดข้อหนึ่ง1.1) บุคลากรประจำที่ปฏิบัติงานในมหาวิทยาลัยเกษตรศาสตร์ มาไม่ต่ำกว่า 5 ปี และยังปฏิบัติงานอยู่ ณ ปัจจุบัน (ณ วันที่รับสมัคร)1.2) นิสิตเก่าที่สำเร็จการศึกษาจากมหาวิทยาลัยเกษตรศาสตร์
2. หน่วยกิตกลุ่มสาระการเรียนรู้คณิตศาสตร์ (ทั้งวิชาพื้นฐานและวิชาเพิ่มเติม) รวมกัน ไม่ต่ำกว่า 12.00 หน่วยกิต
3. หน่วยกิตกลุ่มสาระการเรียนรู้วิทยาศาสตร์ (ทั้งวิชาพื้นฐานและวิชาเพิ่มเติม) รวมกัน ไม่ต่ำกว่า 22.00 หน่วยกิต
4. หน่วยกิตกลุ่มสาระการเรียนรู้ภาษาต่างประเทศ (ภาษาอังกฤษ) วิชาพื้นฐานและวิชาเพิ่มเติม รวมกัน ไม่ต่ำกว่า 9.00 หน่วยกิต
5. ผลการเรียนเฉลี่ยสะสม (GPAX) 5 ภาคเรียน ไม่ต่ำกว่า 2.75
6. TGAT1 การสื่อสารภาษาอังกฤษ ไม่ต่ำกว่า 1.00 คะแนน
7. TPAT3 ความถนัดวิทยาศาสตร์ เทคโนโลยี วิศวกรรมศาสตร์ ไม่ต่ำกว่า 1.00 คะแนน
8. A-Level Math1 คณิตศาสตร์ประยุกต์ 1 ไม่ต่ำกว่า 1.00 คะแนน
9. A-Level Phy ฟิสิกส์ ไม่ต่ำกว่า 1.00 คะแนน","1. TGAT1 การสื่อสารภาษาอังกฤษ สัดส่วน 20.00
2. TPAT3 ความถนัดวิทยาศาสตร์ เทคโนโลยี วิศวกรรมศาสตร์ สัดส่วน 25.00
3. A-Level Math1 คณิตศาสตร์ประยุกต์ 1 สัดส่วน 30.00
4. A-Level Phy ฟิสิกส์ สัดส่วน 25.00
5. การสอบสัมภาษณ์",,,,https://admission.ku.ac.th/majors/project/14/
,คณะวิศวกรรมศาสตร์,วศ.บ. สาขาวิชาวิศวกรรมไฟฟ้าเครื่องกลการผลิต (ภาษาไทย พิเศษ),2,,"1. กำลังศึกษาหรือสำเร็จการศึกษาชั้นมัธยมศึกษาปีที่ 6 หรือเทียบเท่า และต้องเป็นบุตร (บุตรโดยกำเนิดหรือบุตรบุญธรรมตามกฎหมาย) ของบุคคลดังต่อไปนี้ ข้อใดข้อหนึ่ง1.1) บุคลากรประจำที่ปฏิบัติงานในมหาวิทยาลัยเกษตรศาสตร์ มาไม่ต่ำกว่า 5 ปี และยังปฏิบัติงานอยู่ ณ ปัจจุบัน (ณ วันที่รับสมัคร)1.2) นิสิตเก่าที่สำเร็จการศึกษาจากมหาวิทยาลัยเกษตรศาสตร์
2. หน่วยกิตกลุ่มสาระการเรียนรู้คณิตศาสตร์ (ทั้งวิชาพื้นฐานและวิชาเพิ่มเติม) รวมกัน ไม่ต่ำกว่า 12.00 หน่วยกิต
3. หน่วยกิตกลุ่มสาระการเรียนรู้วิทยาศาสตร์ (ทั้งวิชาพื้นฐานและวิชาเพิ่มเติม) รวมกัน ไม่ต่ำกว่า 22.00 หน่วยกิต
4. หน่วยกิตกลุ่มสาระการเรียนรู้ภาษาต่างประเทศ (ภาษาอังกฤษ) วิชาพื้นฐานและวิชาเพิ่มเติม รวมกัน ไม่ต่ำกว่า 9.00 หน่วยกิต
5. ผลการเรียนเฉลี่ยสะสม (GPAX) 5 ภาคเรียน ไม่ต่ำกว่า 2.75
6. TGAT1 การสื่อสารภาษาอังกฤษ ไม่ต่ำกว่า 1.00 คะแนน
7. TPAT3 ความถนัดวิทยาศาสตร์ เทคโนโลยี วิศวกรรมศาสตร์ ไม่ต่ำกว่า 1.00 คะแนน
8. A-Level Math1 คณิตศาสตร์ประยุกต์ 1 ไม่ต่ำกว่า 1.00 คะแนน
9. A-Level Phy ฟิสิกส์ ไม่ต่ำกว่า 1.00 คะแนน","1. TGAT1 การสื่อสารภาษาอังกฤษ สัดส่วน 20.00
2. TPAT3 ความถนัดวิทยาศาสตร์ เทคโนโลยี วิศวกรรมศาสตร์ สัดส่วน 25.00
3. A-Level Math1 คณิตศาสตร์ประยุกต์ 1 สัดส่วน 30.00
4. A-Level Phy ฟิสิกส์ สัดส่วน 25.00
5. การสอบสัมภาษณ์",,,,https://admission.ku.ac.th/majors/project/14/
