ลำดับ,คณะ,สาขาวิชา,จำนวนรับ,ว่าง,เงื่อนไขขั้นต่ำ,เกณฑ์การพิจารณา,รหัสคณะ,ประเภท,รหัสหลักสูตร,แหล่งที่มา
1,คณะวิศวกรรมศาสตร์,วศ.บ. สาขาวิชาวิศวกรรมเคมี (ภาษาไทย พิเศษ),5,,"1. กำลังศึกษาหรือสำเร็จศึกษาชั้นมัธยมศึกษาปีที่ 6 หรือเทียบเท่า
2. ผลการเรียนเฉลี่ยสะสม (GPAX) 5 ภาคเรียน ไม่ต่ำกว่า 3.00
3. หน่วยกิตกลุ่มสาระการเรียนรู้คณิตศาสตร์ ไม่ต่ำกว่า 12.00 หน่วยกิต
4. หน่วยกิตกลุ่มสาระการเรียนรู้วิทยาศาสตร์ ไม่ต่ำกว่า 22.00 หน่วยกิต
5. หน่วยกิตกลุ่มสาระการเรียนรู้ภาษาต่างประเทศ ไม่ต่ำกว่า 9.00 หน่วยกิต
6. ผลการเรียนเฉลี่ยรวมในกลุ่มสาระการเรียนรู้คณิตศาสตร์ ฟิสิกส์ เคมี และภาษาอังกฤษ (รวม 5 ภาคเรียน) ไม่ต่ำกว่า 3.25
7. TGAT1 การสื่อสารภาษาอังกฤษ ไม่ต่ำกว่า 1.00 คะแนน
8. TPAT3 ความถนัดวิทยาศาสตร์ เทคโนโลยี วิศวกรรมศาสตร์ ไม่ต่ำกว่า 1.00 คะแนน
9. A-Level Math1 คณิตศาสตร์ประยุกต์ 1 ไม่ต่ำกว่า 1.00 คะแนน
10. A-Level Phy ฟิสิกส์ ไม่ต่ำกว่า 1.00 คะแนน
11. A-Level Chem เคมี ไม่ต่ำกว่า 1.00 คะแนน
12. หากมีผลการเรียนเฉลี่ยสะสม (GPAX) 5 ภาคเรียน อยู่ในลำดับที่ 1-20 ของโรงเรียน (โดยมีหนังสือรับรองจากโรงเรียน) หรือมีผลงานแสดงความสามารถพิเศษโดดเด่นทางคณิตศาสตร์ วิทยาศาสตร์ เทคโนโลยี หรือวิศวกรรมที่ได้รับการรับรองจากหน่วยงานที่เกี่ยวข้องและได้รับการยอมรับ จะได้รับการพิจารณาเป็นพิเศษ
13. หมายเหตุ ภาวะตาบอดสีจะเป็นอุปสรรคต่อการศึกษาและการประกอบอาชีพวิศวกรรมเคมีเมื่อสำเร็จการศึกษา","1. TGAT1 การสื่อสารภาษาอังกฤษ สัดส่วน 20.00
2. TPAT3 ความถนัดวิทยาศาสตร์ เทคโนโลยี วิศวกรรมศาสตร์ สัดส่วน 30.00
3. A-Level Math1 คณิตศาสตร์ประยุกต์ 1 สัดส่วน 20.00
4. A-Level Phy ฟิสิกส์ สัดส่วน 20.00
5. A-Level Chem เคมี สัดส่วน 10.00
6. การสอบสัมภาษณ์",,,,https://admission.ku.ac.th/majors/project/13/
2,คณะวิศวกรรมศาสตร์,วศ.บ. สาขาวิชาวิศวกรรมเครื่องกล (ภาษาไทย ปกติ),10,,"1. กำลังศึกษาหรือสำเร็จศึกษาชั้นมัธยมศึกษาปีที่ 6 หรือเทียบเท่า
2. หน่วยกิตกลุ่มสาระการเรียนรู้วิทยาศาสตร์และเทคโนโลยี ต้องเรียนรายวิชาพื้นฐานและรายวิชาเพิ่มเติม รวมกัน ไม่ต่ำกว่า 22.00 หน่วยกิต
3. หน่วยกิตกลุ่มสาระการเรียนรู้คณิตศาสตร์ ต้องเรียนรายวิชาพื้นฐานและรายวิชาเพิ่มเติม รวมกัน ไม่ต่ำกว่า 12.00 หน่วยกิต
4. หน่วยกิตกลุ่มสาระการเรียนรู้ภาษาต่างประเทศ (ภาษาอังกฤษ) ต้องเรียนรายวิชาพื้นฐานและรายวิชาเพิ่มเติม รวมกัน ไม่ต่ำกว่า 9.00 หน่วยกิต
5. ผลการเรียนเฉลี่ยสะสม (GPAX) 5 ภาคเรียน ไม่ต่ำกว่า 3.25
6. TGAT1 การสื่อสารภาษาอังกฤษ ไม่ต่ำกว่า 1.00 คะแนน
7. TPAT3 ความถนัดวิทยาศาสตร์ เทคโนโลยี วิศวกรรมศาสตร์ ไม่ต่ำกว่า 1.00 คะแนน
8. A-Level Math1 คณิตศาสตร์ประยุกต์ 1 ไม่ต่ำกว่า 1.00 คะแนน
9. A-Level Phy ฟิสิกส์ ไม่ต่ำกว่า 1.00 คะแนน
10. มีแฟ้มสะสมผลงาน (Portfolio) ที่แสดงข้อมูลดังนี้ ความยาวไม่เกิน 10 หน้ากระดาษ A4 (ไม่รวมปก คำนำ สารบัญ) รวม 1 ไฟล์ ข้อใดข้อหนึ่ง 10.1) ผลงานแสดงความสามารถพิเศษ โดดเด่นทางด้านคณิตศาสตร์ วิทยาศาสตร์หรือเทคโนโลยี ในระดับชั้นมัธยมศึกษาตอนปลาย 10.2) มีประวัติการเข้าร่วมกิจกรรม ค่าย หรือการประกวดที่จัดโดยภาควิชา/คณะวิศวกรรมศาสตร์ มหาวิทยาลัยเกษตรศาสตร์","1. TGAT1 การสื่อสารภาษาอังกฤษ สัดส่วน 20.00
2. TPAT3 ความถนัดวิทยาศาสตร์ เทคโนโลยี วิศวกรรมศาสตร์ สัดส่วน 25.00
3. A-Level Math1 คณิตศาสตร์ประยุกต์ 1 สัดส่วน 30.00
4. A-Level Phy ฟิสิกส์ สัดส่วน 25.00
5. การสอบสัมภาษณ์",,,,https://admission.ku.ac.th/majors/project/13/
3,คณะวิศวกรรมศาสตร์,วศ.บ. สาขาวิชาวิศวกรรมไฟฟ้าเครื่องกลการผลิต (ภาษาไทย ปกติ),5,,"1. กำลังศึกษาหรือสำเร็จศึกษาชั้นมัธยมศึกษาปีที่ 6 หรือเทียบเท่า
2. หน่วยกิตกลุ่มสาระการเรียนรู้วิทยาศาสตร์และเทคโนโลยี ต้องเรียนรายวิชาพื้นฐานและรายวิชาเพิ่มเติม รวมกัน ไม่ต่ำกว่า 22.00 หน่วยกิต
3. หน่วยกิตกลุ่มสาระการเรียนรู้คณิตศาสตร์ ต้องเรียนรายวิชาพื้นฐานและรายวิชาเพิ่มเติม รวมกัน ไม่ต่ำกว่า 12.00 หน่วยกิต
4. หน่วยกิตกลุ่มสาระการเรียนรู้ภาษาต่างประเทศ (ภาษาอังกฤษ) ต้องเรียนรายวิชาพื้นฐานและรายวิชาเพิ่มเติม รวมกัน ไม่ต่ำกว่า 9.00 หน่วยกิต
5. ผลการเรียนเฉลี่ยสะสม (GPAX) 5 ภาคเรียน ไม่ต่ำกว่า 3.25
6. TGAT1 การสื่อสารภาษาอังกฤษ ไม่ต่ำกว่า 1.00 คะแนน
7. TPAT3 ความถนัดวิทยาศาสตร์ เทคโนโลยี วิศวกรรมศาสตร์ ไม่ต่ำกว่า 1.00 คะแนน
8. A-Level Math1 คณิตศาสตร์ประยุกต์ 1 ไม่ต่ำกว่า 1.00 คะแนน
9. A-Level Phy ฟิสิกส์ ไม่ต่ำกว่า 1.00 คะแนน
10. มีแฟ้มสะสมผลงาน (Portfolio) ที่แสดงข้อมูลดังนี้ ความยาวไม่เกิน 10 หน้ากระดาษ A4 (ไม่รวมปก คำนำ สารบัญ) รวม 1 ไฟล์ ข้อใดข้อหนึ่ง 10.1) ผลงานแสดงความสามารถพิเศษ โดดเด่นทางด้านคณิตศาสตร์ วิทยาศาสตร์หรือเทคโนโลยี ในระดับชั้นมัธยมศึกษาตอนปลาย 10.2) มีประวัติการเข้าร่วมกิจกรรม ค่าย หรือการประกวดที่จัดโดยภาควิชา/คณะวิศวกรรมศาสตร์ มหาวิทยาลัยเกษตรศาสตร์","1. TGAT1 การสื่อสารภาษาอังกฤษ สัดส่วน 20.00
2. TPAT3 ความถนัดวิทยาศาสตร์ เทคโนโลยี วิศวกรรมศาสตร์ สัดส่วน 25.00
3. A-Level Math1 คณิตศาสตร์ประยุกต์ 1 สัดส่วน 30.00
4. A-Level Phy ฟิสิกส์ สัดส่วน 25.00
5. การสอบสัมภาษณ์",,,,https://admission.ku.ac.th/majors/project/13/
4,คณะวิศวกรรมศาสตร์,วศ.บ. สาขาวิชาวิศวกรรมไฟฟ้า (ภาษาไทย ปกติ),15,,"1. กำลังศึกษาหรือสำเร็จศึกษาชั้นมัธยมศึกษาปีที่ 6 หรือเทียบเท่า
2. หน่วยกิตกลุ่มสาระการเรียนรู้วิทยาศาสตร์และเทคโนโลยี ต้องเรียนรายวิชาพื้นฐานและรายวิชาเพิ่มเติม รวมกัน ไม่ต่ำกว่า 22.00 หน่วยกิต
3. หน่วยกิตกลุ่มสาระการเรียนรู้คณิตศาสตร์ ต้องเรียนรายวิชาพื้นฐานและรายวิชาเพิ่มเติม รวมกัน ไม่ต่ำกว่า 12.00 หน่วยกิต
4. หน่วยกิตกลุ่มสาระการเรียนรู้ภาษาต่างประเทศ (ภาษาอังกฤษ) ต้องเรียนรายวิชาพื้นฐานและรายวิชาเพิ่มเติม รวมกัน ไม่ต่ำกว่า 9.00 หน่วยกิต
5. ผลการเรียนเฉลี่ยสะสม (GPAX) 5 ภาคเรียน ไม่ต่ำกว่า 3.00
6. TGAT1 การสื่อสารภาษาอังกฤษ ไม่ต่ำกว่า 1.00 คะแนน
7. TPAT3 ความถนัดวิทยาศาสตร์ เทคโนโลยี วิศวกรรมศาสตร์ ไม่ต่ำกว่า 1.00 คะแนน
8. A-Level Math1 คณิตศาสตร์ประยุกต์ 1 ไม่ต่ำกว่า 1.00 คะแนน
9. A-Level Phy ฟิสิกส์ ไม่ต่ำกว่า 1.00 คะแนน
10. มีแฟ้มสะสมผลงาน (Portfolio) ที่แสดงข้อมูลดังนี้ ความยาวไม่เกิน 10 หน้ากระดาษ A4 (ไม่รวมปก คำนำ สารบัญ) รวม 1 ไฟล์ ข้อใดข้อหนึ่ง 10.1) ผลงานแสดงความสามารถพิเศษ โดดเด่นทางด้านคณิตศาสตร์ วิทยาศาสตร์หรือเทคโนโลยี ในระดับชั้นมัธยมศึกษาตอนปลาย 10.2) มีประวัติการเข้าร่วมกิจกรรม ค่าย หรือการประกวดที่จัดโดยภาควิชา/คณะวิศวกรรมศาสตร์ มหาวิทยาลัยเกษตรศาสตร์","1. TGAT1 การสื่อสารภาษาอังกฤษ สัดส่วน 20.00
2. TPAT3 ความถนัดวิทยาศาสตร์ เทคโนโลยี วิศวกรรมศาสตร์ สัดส่วน 25.00
3. A-Level Math1 คณิตศาสตร์ประยุกต์ 1 สัดส่วน 30.00
4. A-Level Phy ฟิสิกส์ สัดส่วน 25.00
5. การสอบสัมภาษณ์
",,,,https://admission.ku.ac.th/majors/project/13/
5,คณะวิศวกรรมศาสตร์,วศ.บ. สาขาวิชาวิศวกรรมเครื่องกล (ภาษาไทย พิเศษ),20,,"1. กำลังศึกษาหรือสำเร็จศึกษาชั้นมัธยมศึกษาปีที่ 6 หรือเทียบเท่า
2. หน่วยกิตกลุ่มสาระการเรียนรู้วิทยาศาสตร์และเทคโนโลยี ต้องเรียนรายวิชาพื้นฐานและรายวิชาเพิ่มเติม รวมกัน ไม่ต่ำกว่า 22.00 หน่วยกิต
3. หน่วยกิตกลุ่มสาระการเรียนรู้คณิตศาสตร์ ต้องเรียนรายวิชาพื้นฐานและรายวิชาเพิ่มเติม รวมกัน ไม่ต่ำกว่า 12.00 หน่วยกิต
4. หน่วยกิตกลุ่มสาระการเรียนรู้ภาษาต่างประเทศ (ภาษาอังกฤษ) ต้องเรียนรายวิชาพื้นฐานและรายวิชาเพิ่มเติม รวมกัน ไม่ต่ำกว่า 9.00 หน่วยกิต
5. ผลการเรียนเฉลี่ยสะสม (GPAX) 5 ภาคเรียน ไม่ต่ำกว่า 3.00
6. TGAT1 การสื่อสารภาษาอังกฤษ ไม่ต่ำกว่า 1.00 คะแนน
7. TPAT3 ความถนัดวิทยาศาสตร์ เทคโนโลยี วิศวกรรมศาสตร์ ไม่ต่ำกว่า 1.00 คะแนน
8. A-Level Math1 คณิตศาสตร์ประยุกต์ 1 ไม่ต่ำกว่า 1.00 คะแนน
9. A-Level Phy ฟิสิกส์ ไม่ต่ำกว่า 1.00 คะแนน
10. มีแฟ้มสะสมผลงาน (Portfolio) ที่แสดงข้อมูลดังนี้ ความยาวไม่เกิน 10 หน้ากระดาษ A4 (ไม่รวมปก คำนำ สารบัญ) รวม 1 ไฟล์ ข้อใดข้อหนึ่ง 10.1) ผลงานแสดงความสามารถพิเศษ โดดเด่นทางด้านคณิตศาสตร์ วิทยาศาสตร์หรือเทคโนโลยี ในระดับชั้นมัธยมศึกษาตอนปลาย 10.2) มีประวัติการเข้าร่วมกิจกรรม ค่าย หรือการประกวดที่จัดโดยภาควิชา/คณะวิศวกรรมศาสตร์ มหาวิทยาลัยเกษตรศาสตร์","1. TGAT1 การสื่อสารภาษาอังกฤษ สัดส่วน 20.00
2. TPAT3 ความถนัดวิทยาศาสตร์ เทคโนโลยี วิศวกรรมศาสตร์ สัดส่วน 25.00
3. A-Level Math1 คณิตศาสตร์ประยุกต์ 1 สัดส่วน 30.00
4. A-Level Phy ฟิสิกส์ สัดส่วน 25.00
5. การสอบสัมภาษณ์
",,,,https://admission.ku.ac.th/majors/project/13/
6,คณะวิศวกรรมศาสตร์,วศ.บ. สาขาวิชาวิศวกรรมไฟฟ้าเครื่องกลการผลิต (ภาษาไทย พิเศษ),10,,"1. กำลังศึกษาหรือสำเร็จศึกษาชั้นมัธยมศึกษาปีที่ 6 หรือเทียบเท่า
2. หน่วยกิตกลุ่มสาระการเรียนรู้วิทยาศาสตร์และเทคโนโลยี ต้องเรียนรายวิชาพื้นฐานและรายวิชาเพิ่มเติม รวมกัน ไม่ต่ำกว่า 22.00 หน่วยกิต
3. หน่วยกิตกลุ่มสาระการเรียนรู้คณิตศาสตร์ ต้องเรียนรายวิชาพื้นฐานและรายวิชาเพิ่มเติม รวมกัน ไม่ต่ำกว่า 12.00 หน่วยกิต
4. หน่วยกิตกลุ่มสาระการเรียนรู้ภาษาต่างประเทศ (ภาษาอังกฤษ) ต้องเรียนรายวิชาพื้นฐานและรายวิชาเพิ่มเติม รวมกัน ไม่ต่ำกว่า 9.00 หน่วยกิต
5. ผลการเรียนเฉลี่ยสะสม (GPAX) 5 ภาคเรียน ไม่ต่ำกว่า 3.00
6. TGAT1 การสื่อสารภาษาอังกฤษ ไม่ต่ำกว่า 1.00 คะแนน
7. TPAT3 ความถนัดวิทยาศาสตร์ เทคโนโลยี วิศวกรรมศาสตร์ ไม่ต่ำกว่า 1.00 คะแนน
8. A-Level Math1 คณิตศาสตร์ประยุกต์ 1 ไม่ต่ำกว่า 1.00 คะแนน
9. A-Level Phy ฟิสิกส์ ไม่ต่ำกว่า 1.00 คะแนน
10. มีแฟ้มสะสมผลงาน (Portfolio) ที่แสดงข้อมูลดังนี้ ความยาวไม่เกิน 10 หน้ากระดาษ A4 (ไม่รวมปก คำนำ สารบัญ) รวม 1 ไฟล์ ข้อใดข้อหนึ่ง 10.1) ผลงานแสดงความสามารถพิเศษ โดดเด่นทางด้านคณิตศาสตร์ วิทยาศาสตร์หรือเทคโนโลยี ในระดับชั้นมัธยมศึกษาตอนปลาย 10.2) มีประวัติการเข้าร่วมกิจกรรม ค่าย หรือการประกวดที่จัดโดยภาควิชา/คณะวิศวกรรมศาสตร์ มหาวิทยาลัยเกษตรศาสตร์","1. TGAT1 การสื่อสารภาษาอังกฤษ สัดส่วน 20.00
2. TPAT3 ความถนัดวิทยาศาสตร์ เทคโนโลยี วิศวกรรมศาสตร์ สัดส่วน 25.00
3. A-Level Math1 คณิตศาสตร์ประยุกต์ 1 สัดส่วน 30.00
4. A-Level Phy ฟิสิกส์ สัดส่วน 25.00
5. การสอบสัมภาษณ์
",,,,https://admission.ku.ac.th/majors/project/13/
7,คณะวิศวกรรมศาสตร์,วศ.บ. สาขาวิชาวิศวกรรมไฟฟ้า (ภาษาไทย พิเศษ),20,,"1. กำลังศึกษาหรือสำเร็จศึกษาชั้นมัธยมศึกษาปีที่ 6 หรือเทียบเท่า
2. หน่วยกิตกลุ่มสาระการเรียนรู้วิทยาศาสตร์และเทคโนโลยี ต้องเรียนรายวิชาพื้นฐานและรายวิชาเพิ่มเติม รวมกัน ไม่ต่ำกว่า 22.00 หน่วยกิต
3. หน่วยกิตกลุ่มสาระการเรียนรู้คณิตศาสตร์ ต้องเรียนรายวิชาพื้นฐานและรายวิชาเพิ่มเติม รวมกัน ไม่ต่ำกว่า 12.00 หน่วยกิต
4. หน่วยกิตกลุ่มสาระการเรียนรู้ภาษาต่างประเทศ (ภาษาอังกฤษ) ต้องเรียนรายวิชาพื้นฐานและรายวิชาเพิ่มเติม รวมกัน ไม่ต่ำกว่า 9.00 หน่วยกิต
5. ผลการเรียนเฉลี่ยสะสม (GPAX) 5 ภาคเรียน ไม่ต่ำกว่า 2.75
6. TGAT1 การสื่อสารภาษาอังกฤษ ไม่ต่ำกว่า 1.00 คะแนน
7. TPAT3 ความถนัดวิทยาศาสตร์ เทคโนโลยี วิศวกรรมศาสตร์ ไม่ต่ำกว่า 1.00 คะแนน
8. A-Level Math1 คณิตศาสตร์ประยุกต์ 1 ไม่ต่ำกว่า 1.00 คะแนน
9. A-Level Phy ฟิสิกส์ ไม่ต่ำกว่า 1.00 คะแนน
10. มีแฟ้มสะสมผลงาน (Portfolio) ที่แสดงข้อมูลดังนี้ ความยาวไม่เกิน 10 หน้ากระดาษ A4 (ไม่รวมปก คำนำ สารบัญ) รวม 1 ไฟล์ ข้อใดข้อหนึ่ง 10.1) ผลงานแสดงความสามารถพิเศษ โดดเด่นทางด้านคณิตศาสตร์ วิทยาศาสตร์หรือเทคโนโลยี ในระดับชั้นมัธยมศึกษาตอนปลาย 10.2) มีประวัติการเข้าร่วมกิจกรรม ค่าย หรือการประกวดที่จัดโดยภาควิชา/คณะวิศวกรรมศาสตร์ มหาวิทยาลัยเกษตรศาสตร์","1. TGAT1 การสื่อสารภาษาอังกฤษ สัดส่วน 20.00
2. TPAT3 ความถนัดวิทยาศาสตร์ เทคโนโลยี วิศวกรรมศาสตร์ สัดส่วน 25.00
3. A-Level Math1 คณิตศาสตร์ประยุกต์ 1 สัดส่วน 30.00
4. A-Level Phy ฟิสิกส์ สัดส่วน 25.00
5. การสอบสัมภาษณ์",,,,https://admission.ku.ac.th/majors/project/13/
8,คณะวิศวกรรมศาสตร์,วศ.บ. สาขาวิชาวิศวกรรมโยธา (ภาษาไทย ปกติ),19,,"1. กำลังศึกษาหรือสำเร็จศึกษาชั้นมัธยมศึกษาปีที่ 6 หรือเทียบเท่า
2. หน่วยกิตกลุ่มสาระการเรียนรู้วิทยาศาสตร์และเทคโนโลยี ต้องเรียนรายวิชาพื้นฐานและรายวิชาเพิ่มเติม รวมกัน ไม่ต่ำกว่า 22.00 หน่วยกิต
3. หน่วยกิตกลุ่มสาระการเรียนรู้คณิตศาสตร์ ต้องเรียนรายวิชาพื้นฐานและรายวิชาเพิ่มเติม รวมกัน ไม่ต่ำกว่า 12.00 หน่วยกิต
4. หน่วยกิตกลุ่มสาระการเรียนรู้ภาษาต่างประเทศ (ภาษาอังกฤษ) ต้องเรียนรายวิชาพื้นฐานและรายวิชาเพิ่มเติม รวมกัน ไม่ต่ำกว่า 9.00 หน่วยกิต
5. ผลการเรียนเฉลี่ยสะสม (GPAX) 5 ภาคเรียน ไม่ต่ำกว่า 3.25
6. TGAT1 การสื่อสารภาษาอังกฤษ ไม่ต่ำกว่า 1.00 คะแนน
7. TPAT3 ความถนัดวิทยาศาสตร์ เทคโนโลยี วิศวกรรมศาสตร์ ไม่ต่ำกว่า 1.00 คะแนน
8. A-Level Math1 คณิตศาสตร์ประยุกต์ 1 ไม่ต่ำกว่า 1.00 คะแนน
9. A-Level Phy ฟิสิกส์ ไม่ต่ำกว่า 1.00 คะแนน
10. มีแฟ้มสะสมผลงาน (Portfolio) ที่แสดงข้อมูลดังนี้ ความยาวไม่เกิน 10 หน้ากระดาษ A4 (ไม่รวมปก คำนำ สารบัญ) รวม 1 ไฟล์ ข้อใดข้อหนึ่ง 10.1) ผลงานแสดงความสามารถพิเศษ โดดเด่นทางด้านคณิตศาสตร์ วิทยาศาสตร์หรือเทคโนโลยี ในระดับชั้นมัธยมศึกษาตอนปลาย 10.2) มีประวัติการเข้าร่วมกิจกรรม ค่าย หรือการประกวดที่จัดโดยภาควิชา/คณะวิศวกรรมศาสตร์ มหาวิทยาลัยเกษตรศาสตร์","1. TGAT1 การสื่อสารภาษาอังกฤษ สัดส่วน 20.00
2. TPAT3 ความถนัดวิทยาศาสตร์ เทคโนโลยี วิศวกรรมศาสตร์ สัดส่วน 25.00
3. A-Level Math1 คณิตศาสตร์ประยุกต์ 1 สัดส่วน 30.00
4. A-Level Phy ฟิสิกส์ สัดส่วน 25.00
5. การสอบสัมภาษณ์",,,,https://admission.ku.ac.th/majors/project/13/
9,คณะวิศวกรรมศาสตร์,วศ.บ. สาขาวิชาวิศวกรรมโยธา-ทรัพยากรน้ำ (ภาษาไทย ปกติ),5,,"1. กำลังศึกษาหรือสำเร็จศึกษาชั้นมัธยมศึกษาปีที่ 6 หรือเทียบเท่า
2. หน่วยกิตกลุ่มสาระการเรียนรู้วิทยาศาสตร์และเทคโนโลยี ต้องเรียนรายวิชาพื้นฐานและรายวิชาเพิ่มเติม รวมกัน ไม่ต่ำกว่า 22.00 หน่วยกิต
3. หน่วยกิตกลุ่มสาระการเรียนรู้คณิตศาสตร์ ต้องเรียนรายวิชาพื้นฐานและรายวิชาเพิ่มเติม รวมกัน ไม่ต่ำกว่า 12.00 หน่วยกิต
4. หน่วยกิตกลุ่มสาระการเรียนรู้ภาษาต่างประเทศ (ภาษาอังกฤษ) ต้องเรียนรายวิชาพื้นฐานและรายวิชาเพิ่มเติม รวมกัน ไม่ต่ำกว่า 9.00 หน่วยกิต
5. ผลการเรียนเฉลี่ยสะสม (GPAX) 5 ภาคเรียน ไม่ต่ำกว่า 3.00
6. ผลการเรียนเฉลี่ยรวมในกลุ่มสาระการเรียนรู้คณิตศาสตร์ ฟิสิกส์ เคมี และภาษาอังกฤษ ไม่ต่ำกว่า 3.25
7. TGAT1 การสื่อสารภาษาอังกฤษ ไม่ต่ำกว่า 1.00 คะแนน
8. TPAT3 ความถนัดวิทยาศาสตร์ เทคโนโลยี วิศวกรรมศาสตร์ ไม่ต่ำกว่า 1.00 คะแนน
9. A-Level Math1 คณิตศาสตร์ประยุกต์ 1 ไม่ต่ำกว่า 1.00 คะแนน
10. A-Level Phy ฟิสิกส์ ไม่ต่ำกว่า 1.00 คะแนน
11. ประวัติผลงาน และประกาศนียบัตรรับรองความสามารถทางด้านวิชาการและความสามารถพิเศษในระดับมัธยมศึกษาตอนปลาย ความยาวไม่เกิน 10 หน้ากระดาษ A4 (ไม่รวมปก คำนำ สารบัญ) รวม 1 ไฟล์","1. TGAT1 การสื่อสารภาษาอังกฤษ สัดส่วน 25.00
2. TPAT3 ความถนัดวิทยาศาสตร์ เทคโนโลยี วิศวกรรมศาสตร์ สัดส่วน 25.00
3. A-Level Math1 คณิตศาสตร์ประยุกต์ 1 สัดส่วน 25.00
4. A-Level Phy ฟิสิกส์ สัดส่วน 25.00
5. การสอบสัมภาษณ์",,,,https://admission.ku.ac.th/majors/project/13/
10,คณะวิศวกรรมศาสตร์,วศ.บ. สาขาวิชาวิศวกรรมวัสดุ (ภาษาไทย ปกติ),10,,"1. กำลังศึกษาชั้นมัธยมศึกษาปีที่ 6 หรือเทียบเท่า ดังนี้ ข้อใดข้อหนึ่ง 1.1) เรียนรายวิชาในกลุ่มสาระการเรียนรู้วิทยาศาสตร์และเทคโนโลยี วิชาพื้นฐานและวิชาเพิ่มเติม รวมกันไม่ต่ำกว่า 22 หน่วยกิต กลุ่มสาระการเรียนรู้คณิตศาสตร์ วิชาพื้นฐานและวิชาเพิ่มเติมรวมกันไม่ต่ำกว่า 12 หน่วยกิตและกลุ่มสาระการเรียนรู้ภาษาต่างประเทศ (ภาษาอังกฤษ) วิชาพื้นฐานและวิชาเพิ่มเติมรวมกันไม่ต่ำกว่า 9 หน่วยกิต 1.2) เรียนรายวิชาในกลุ่มสาระการเรียนรู้จากโครงการวิทยาลัยเทคโนโลยีฐานวิทยาศาสตร์ที่เทียบเท่าระดับมัธยมศึกษาตอนปลาย โดยมีจำนวนหน่วยกิตเทียบเท่ากัน
2. ผลการเรียนเฉลี่ยสะสม (GPAX) 5 ภาคเรียน ไม่ต่ำกว่า 3.00
3. ผลการเรียนเฉลี่ยรวมในกลุ่มสาระการเรียนรู้คณิตศาสตร์ วิทยาศาสตร์และเทคโนโลยี และภาษาอังกฤษ (รวม 5 ภาคเรียน) ไม่ต่ำกว่า 3.00 ทั้งนี้ ผู้ที่มี GPAX อยู่ในลำดับที่ 1-20 ของโรงเรียน (โดยมีหนังสือรับรองจากโรงเรียน) จะได้รับการพิจารณาเป็นกรณีพิเศษ
4. TGAT1 การสื่อสารภาษาอังกฤษ ไม่ต่ำกว่า 1.00 คะแนน
5. TPAT3 ความถนัดวิทยาศาสตร์ เทคโนโลยี วิศวกรรมศาสตร์ ไม่ต่ำกว่า 1.00 คะแนน
6. A-Level Math1 คณิตศาสตร์ประยุกต์ 1 ไม่ต่ำกว่า 1.00 คะแนน
7. A-Level Phy ฟิสิกส์ ไม่ต่ำกว่า 1.00 คะแนน
8. A-Level Chem เคมี ไม่ต่ำกว่า 1.00 คะแนน
9. มีแฟ้มสะสมผลงาน (Portfolio) ที่แสดงข้อมูลดังนี้ ความยาวไม่เกิน 10 หน้ากระดาษ A4 (ไม่รวมปก คำนำ สารบัญ) รวม 1 ไฟล์ ข้อใดข้อหนึ่ง 9.1) ผลงานแสดงความสามารถพิเศษ โดดเด่นทางด้านคณิตศาสตร์ วิทยาศาสตร์หรือเทคโนโลยี ในระดับมัธยมศึกษาตอนปลาย 9.2) มีประวัติการเข้าร่วมกิจกรรม ค่าย หรือการประกวดที่จัดโดยภาควิชา/คณะวิศวกรรมศาสตร์มหาวิทยาลัยเกษตรศาสตร์","1. TGAT1 การสื่อสารภาษาอังกฤษ สัดส่วน 20.00
2. TPAT3 ความถนัดวิทยาศาสตร์ เทคโนโลยี วิศวกรรมศาสตร์ สัดส่วน 30.00
3. A-Level Math1 คณิตศาสตร์ประยุกต์ 1 สัดส่วน 20.00
4. A-Level Phy ฟิสิกส์ สัดส่วน 20.00
5. A-Level Chem เคมี สัดส่วน 10.00
6. การสอบสัมภาษณ์",,,,https://admission.ku.ac.th/majors/project/13/
