สาขาวิชาที่ใช้เกณฑ์,จำนวนรับ,เงื่อนไขขั้นต่ำ,เกณฑ์การพิจารณา
วศ.บ. สาขาวิชาวิศวกรรมเคมี (ภาษาไทย ปกติ),25,"1. กำลังศึกษาหรือสำเร็จการศึกษาชั้นมัธยมศึกษาปีที่ 6 หรือ เทียบเท่า
2. ผลการเรียนเฉลี่ยสะสม (GPAX) 5 ภาคเรียน ไม่ต่ำกว่า 3.00
3. หน่วยกิตกลุ่มสาระการเรียนรู้คณิตศาสตร์ ไม่ต่ำกว่า 12.00 หน่วยกิต (6 ภาคเรียน)
4. หน่วยกิตกลุ่มสาระการเรียนรู้วิทยาศาสตร์ ไม่ต่ำกว่า 22.00 หน่วยกิต (6 ภาคเรียน)
5. หน่วยกิตกลุ่มสาระการเรียนรู้ภาษาต่างประเทศ ไม่ต่ำกว่า 9.00 หน่วยกิต (6 ภาคเรียน)
6. คะแนนเฉลี่ยรวมในรายวิชากลุ่มสาระการเรียนรู้คณิตศาสตร์ ฟิสิกส์ เคมี และภาษาอังกฤษ (5 ภาคเรียน) ไม่ต่ำกว่า 3.25
7. TGAT ความถนัดทั่วไป ไม่ต่ำกว่า 1.00 คะแนน
8. TPAT3 ความถนัดวิทยาศาสตร์ เทคโนโลยี วิศวกรรมศาสตร์ ไม่ต่ำกว่า 1.00 คะแนน
9. มีแฟ้มสะสมผลงาน (Portfolio) ที่แสดงข้อมูลดังนี้ ข้อใดข้อหนึ่ง 9.1) ผลการประดิษฐ์ ผลการแข่งขัน หรือผลการประกวดที่เกี่ยวข้องกับคณิตศาสตร์ วิทยาศาสตร์และเทคโนโลยีในระดับมัธยมศึกษาตอนปลาย 9.2) ผลการเรียนเฉลี่ยสะสม (GPAX) 5 ภาคเรียน อยู่ในลำดับที่ 1-20 ของโรงเรียน (โดยมีหนังสือรับรองจากโรงเรียน) 9.3) มีประวัติการเข้าร่วมกิจกรรม ค่าย หรือการประกวดที่จัดขึ้นโดยภาควิชาวิศวกรรมเคมี/คณะวิศวกรรมศาสตร์ มหาวิทยาลัยเกษตรศาสตร์
10. หมายเหตุ ภาวะตาบอดสี จะเป็นอุปสรรคต่อการศึกษาและการประกอบอาชีพวิศวกรรมเคมีเมื่อสำเร็จการศึกษา","1. TGAT ความถนัดทั่วไป
2. TPAT3 ความถนัดวิทยาศาสตร์ เทคโนโลยี วิศวกรรมศาสตร์
3. ผลการเรียนเฉลี่ยสะสม (GPAX) และคะแนนเฉลี่ยรวมในรายวิชากลุ่มสาระการเรียนรู้คณิตศาสตร์ ฟิสิกส์ เคมี และภาษาอังกฤษ
4. แฟ้มสะสมผลงาน
5. การสอบสัมภาษณ์"
วศ.บ. สาขาวิชาวิศวกรรมเคมี (ภาษาไทย พิเศษ),20,"1. กำลังศึกษาหรือสำเร็จการศึกษาชั้นมัธยมศึกษาปีที่ 6 หรือ เทียบเท่า
2. ผลการเรียนเฉลี่ยสะสม (GPAX) 5 ภาคเรียน ไม่ต่ำกว่า 3.00
3. หน่วยกิตกลุ่มสาระการเรียนรู้คณิตศาสตร์ ไม่ต่ำกว่า 12.00 หน่วยกิต (6 ภาคเรียน)
4. หน่วยกิตกลุ่มสาระการเรียนรู้วิทยาศาสตร์ ไม่ต่ำกว่า 22.00 หน่วยกิต (6 ภาคเรียน)
5. หน่วยกิตกลุ่มสาระการเรียนรู้ภาษาต่างประเทศ ไม่ต่ำกว่า 9.00 หน่วยกิต (6 ภาคเรียน)
6. คะแนนเฉลี่ยรวมในรายวิชากลุ่มสาระการเรียนรู้คณิตศาสตร์ ฟิสิกส์ เคมี และภาษาอังกฤษ (5 ภาคเรียน) ไม่ต่ำกว่า 3.25
7. TGAT ความถนัดทั่วไป ไม่ต่ำกว่า 1.00 คะแนน
8. TPAT3 ความถนัดวิทยาศาสตร์ เทคโนโลยี วิศวกรรมศาสตร์ ไม่ต่ำกว่า 1.00 คะแนน
9. มีแฟ้มสะสมผลงาน (Portfolio) ที่แสดงข้อมูลดังนี้ ข้อใดข้อหนึ่ง 9.1) ผลการประดิษฐ์ ผลการแข่งขัน หรือผลการประกวดที่เกี่ยวข้องกับคณิตศาสตร์ วิทยาศาสตร์และเทคโนโลยีในระดับมัธยมศึกษาตอนปลาย 9.2) ผลการเรียนเฉลี่ยสะสม (GPAX) 5 ภาคเรียน อยู่ในลำดับที่ 1-20 ของโรงเรียน (โดยมีหนังสือรับรองจากโรงเรียน) 9.3) มีประวัติการเข้าร่วมกิจกรรม ค่าย หรือการประกวดที่จัดขึ้นโดยภาควิชาวิศวกรรมเคมี/คณะวิศวกรรมศาสตร์ มหาวิทยาลัยเกษตรศาสตร์
10. หมายเหตุ ภาวะตาบอดสี จะเป็นอุปสรรคต่อการศึกษาและการประกอบอาชีพวิศวกรรมเคมีเมื่อสำเร็จการศึกษา","1. TGAT ความถนัดทั่วไป
2. TPAT3 ความถนัดวิทยาศาสตร์ เทคโนโลยี วิศวกรรมศาสตร์
3. ผลการเรียนเฉลี่ยสะสม (GPAX) และคะแนนเฉลี่ยรวมในรายวิชากลุ่มสาระการเรียนรู้คณิตศาสตร์ ฟิสิกส์ เคมี และภาษาอังกฤษ
4. แฟ้มสะสมผลงาน
5. การสอบสัมภาษณ์"
วศ.บ. สาขาวิชาวิศวกรรมเครื่องกล (ภาษาไทย ปกติ),20,"1. กำลังศึกษาชั้นมัธยมศึกษาปีที่ 6 หรือเทียบเท่า
2. หน่วยกิตกลุ่มสาระการเรียนรู้วิทยาศาสตร์และเทคโนโลยี ทั้งวิชาพื้นฐานและวิชาเพิ่มเติมรวมกัน ไม่ต่ำกว่า 22.00 หน่วยกิต (6 ภาคเรียน)
3. หน่วยกิตกลุ่มสาระการเรียนรู้คณิตศาสตร์ ทั้งวิชาพื้นฐานและวิชาเพิ่มเติมรวมกัน ไม่ต่ำกว่า 12.00 หน่วยกิต (6 ภาคเรียน)
4. หน่วยกิตกลุ่มสาระการเรียนรู้ภาษาต่างประเทศ (ภาษาอังกฤษ) ไม่ต่ำกว่า 9.00 หน่วยกิต (6 ภาคเรียน)
5. ผลการเรียนเฉลี่ยสะสม (GPAX) 5 ภาคเรียน ไม่ต่ำกว่า 3.25
6. คะแนนเฉลี่ยรายวิชากลุ่มสาระการเรียนรู้คณิตศาสตร์ รวม 5 ภาคเรียน ไม่ต่ำกว่า 3.00
7. คะแนนเฉลี่ยรายวิชาฟิสิกส์ รวม 5 ภาคเรียน ไม่ต่ำกว่า 3.00
8. มีแฟ้มสะสมผลงาน (Portfolio) ที่แสดงข้อมูล ดังนี้ ข้อใดข้อหนึ่ง 8.1) ผลงานการประดิษฐ์ ผลการแข่งขัน หรือผลการประกวดที่เกี่ยวข้องกับคณิตศาสตร์ วิทยาศาสตร์ หรือเทคโนโลยีในระดับมัธยมศึกษาตอนปลาย 8.2) มีประวัติการเข้าร่วมกิจกรรม ค่าย หรือการประกวดที่จัดโดยภาควิชา/คณะวิศวกรรมศาสตร์ มหาวิทยาลัยเกษตรศาสตร์
9. TGAT ความถนัดทั่วไป ไม่ต่ำกว่า 1.00 คะแนน
10. TPAT3 ความถนัดวิทยาศาสตร์ เทคโนโลยี วิศวกรรมศาสตร์ ไม่ต่ำกว่า 1.00 คะแนน","1. TGAT ความถนัดทั่วไป
2. TPAT3 ความถนัดวิทยาศาสตร์ เทคโนโลยี วิศวกรรมศาสตร์
3. การสอบสัมภาษณ์"
วศ.บ. สาขาวิชาวิศวกรรมไฟฟ้าเครื่องกลการผลิต (ภาษาไทย ปกติ),5,"1. กำลังศึกษาชั้นมัธยมศึกษาปีที่ 6 หรือเทียบเท่า
2. หน่วยกิตกลุ่มสาระการเรียนรู้วิทยาศาสตร์และเทคโนโลยี ทั้งวิชาพื้นฐานและวิชาเพิ่มเติมรวมกัน ไม่ต่ำกว่า 22.00 หน่วยกิต (6 ภาคเรียน)
3. หน่วยกิตกลุ่มสาระการเรียนรู้คณิตศาสตร์ ทั้งวิชาพื้นฐานและวิชาเพิ่มเติมรวมกัน ไม่ต่ำกว่า 12.00 หน่วยกิต (6 ภาคเรียน)
4. หน่วยกิตกลุ่มสาระการเรียนรู้ภาษาต่างประเทศ (ภาษาอังกฤษ) ไม่ต่ำกว่า 9.00 หน่วยกิต (6 ภาคเรียน)
5. ผลการเรียนเฉลี่ยสะสม (GPAX) 5 ภาคเรียน ไม่ต่ำกว่า 3.25
6. คะแนนเฉลี่ยรายวิชากลุ่มสาระการเรียนรู้คณิตศาสตร์ รวม 5 ภาคเรียน ไม่ต่ำกว่า 3.00
7. คะแนนเฉลี่ยรายวิชาฟิสิกส์ รวม 5 ภาคเรียน ไม่ต่ำกว่า 3.00
8. มีแฟ้มสะสมผลงาน (Portfolio) ที่แสดงข้อมูล ดังนี้ ข้อใดข้อหนึ่ง 8.1) ผลงานการประดิษฐ์ ผลการแข่งขัน หรือผลการประกวดที่เกี่ยวข้องกับคณิตศาสตร์ วิทยาศาสตร์ หรือเทคโนโลยีในระดับมัธยมศึกษาตอนปลาย 8.2) มีประวัติการเข้าร่วมกิจกรรม ค่าย หรือการประกวดที่จัดโดยภาควิชา/คณะวิศวกรรมศาสตร์ มหาวิทยาลัยเกษตรศาสตร์
9. TGAT ความถนัดทั่วไป ไม่ต่ำกว่า 1.00 คะแนน
10. TPAT3 ความถนัดวิทยาศาสตร์ เทคโนโลยี วิศวกรรมศาสตร์ ไม่ต่ำกว่า 1.00 คะแนน","1. TGAT ความถนัดทั่วไป
2. TPAT3 ความถนัดวิทยาศาสตร์ เทคโนโลยี วิศวกรรมศาสตร์
3. การสอบสัมภาษณ์"
วศ.บ. สาขาวิชาวิศวกรรมไฟฟ้า (ภาษาไทย ปกติ),30,"1. กำลังศึกษาชั้นมัธยมศึกษาปีที่ 6 หรือเทียบเท่า
2. หน่วยกิตกลุ่มสาระการเรียนรู้วิทยาศาสตร์และเทคโนโลยี ทั้งวิชาพื้นฐานและวิชาเพิ่มเติม รวมกัน ไม่ต่ำกว่า 22.00 หน่วยกิต (6 ภาคเรียน)
3. หน่วยกิตกลุ่มสาระการเรียนรู้คณิตศาสตร์ ทั้งวิชาพื้นฐานและวิชาเพิ่มเติม รวมกัน ไม่ต่ำกว่า 12.00 หน่วยกิต (6 ภาคเรียน)
4. หน่วยกิตกลุ่มสาระการเรียนรู้ภาษาต่างประเทศ (ภาษาอังกฤษ) ไม่ต่ำกว่า 9.00 หน่วยกิต (6 ภาคเรียน)
5. ผลการเรียนเฉลี่ยสะสม (GPAX) 5 ภาคเรียน ไม่ต่ำกว่า 3.00
6. คะแนนเฉลี่ยรายวิชากลุ่มสาระการเรียนรู้คณิตศาสตร์ รวม 5 ภาคเรียน ไม่ต่ำกว่า 3.00
7. คะแนนเฉลี่ยในรายวิชาฟิสิกส์ รวม 5 ภาคเรียน ไม่ต่ำกว่า 3.00
8. มีแฟ้มสะสมผลงาน (Portfolio) ที่แสดงข้อมูล ดังนี้ ข้อใดข้อหนึ่ง 8.1) ผลงานการประดิษฐ์ ผลการแข่งขัน หรือผลการประกวดที่เกี่ยวข้องกับคณิตศาสตร์ วิทยาศาสตร์ หรือเทคโนโลยีในระดับมัธยมศึกษาตอนปลาย 8.2) มีประวัติการเข้าร่วมกิจกรรม ค่าย หรือการประกวดที่จัดโดยภาควิชา/คณะวิศวกรรมศาสตร์ มหาวิทยาลัยเกษตรศาสตร์
9. TGAT ความถนัดทั่วไป ไม่ต่ำกว่า 1.00 คะแนน
10. TPAT3 ความถนัดวิทยาศาสตร์ เทคโนโลยี วิศวกรรมศาสตร์ ไม่ต่ำกว่า 1.00 คะแนน","1. TGAT ความถนัดทั่วไป
2. TPAT3 ความถนัดวิทยาศาสตร์ เทคโนโลยี วิศวกรรมศาสตร์
3. การสอบสัมภาษณ์"
วศ.บ. สาขาวิชาวิศวกรรมเครื่องกล (ภาษาไทย พิเศษ),10,"1. กำลังศึกษาชั้นมัธยมศึกษาปีที่ 6 หรือเทียบเท่า
2. หน่วยกิตกลุ่มสาระการเรียนรู้วิทยาศาสตร์และเทคโนโลยี ทั้งวิชาพื้นฐานและวิชาเพิ่มเติม รวมกัน ไม่ต่ำกว่า 22.00 หน่วยกิต (6 ภาคเรียน)
3. หน่วยกิตกลุ่มสาระการเรียนรู้คณิตศาสตร์ ทั้งวิชาพื้นฐานและวิชาเพิ่มเติม รวมกัน ไม่ต่ำกว่า 12.00 หน่วยกิต (6 ภาคเรียน)
4. หน่วยกิตกลุ่มสาระการเรียนรู้ภาษาต่างประเทศ (ภาษาอังกฤษ) ไม่ต่ำกว่า 9.00 หน่วยกิต (6 ภาคเรียน)
5. ผลการเรียนเฉลี่ยสะสม (GPAX) 5 ภาคเรียน ไม่ต่ำกว่า 3.00
6. คะแนนเฉลี่ยรายวิชากลุ่มสาระการเรียนรู้คณิตศาสตร์ รวม 5 ภาคเรียน ไม่ต่ำกว่า 3.00
7. คะแนนเฉลี่ยในรายวิชาฟิสิกส์ รวม 5 ภาคเรียน ไม่ต่ำกว่า 3.00
8. มีแฟ้มสะสมผลงาน (Portfolio) ที่แสดงข้อมูล ดังนี้ ข้อใดข้อหนึ่ง 8.1) ผลงานการประดิษฐ์ ผลการแข่งขัน หรือผลการประกวดที่เกี่ยวข้องกับคณิตศาสตร์ วิทยาศาสตร์ หรือเทคโนโลยีในระดับมัธยมศึกษาตอนปลาย 8.2) มีประวัติการเข้าร่วมกิจกรรม ค่าย หรือการประกวดที่จัดโดยภาควิชา/คณะวิศวกรรมศาสตร์ มหาวิทยาลัยเกษตรศาสตร์
9. TGAT ความถนัดทั่วไป ไม่ต่ำกว่า 1.00 คะแนน
10. TPAT3 ความถนัดวิทยาศาสตร์ เทคโนโลยี วิศวกรรมศาสตร์ ไม่ต่ำกว่า 1.00 คะแนน","1. TGAT ความถนัดทั่วไป
2. TPAT3 ความถนัดวิทยาศาสตร์ เทคโนโลยี วิศวกรรมศาสตร์
3. การสอบสัมภาษณ์"
วศ.บ. สาขาวิชาวิศวกรรมไฟฟ้าเครื่องกลการผลิต (ภาษาไทย พิเศษ),8,"1. กำลังศึกษาชั้นมัธยมศึกษาปีที่ 6 หรือเทียบเท่า
2. หน่วยกิตกลุ่มสาระการเรียนรู้วิทยาศาสตร์และเทคโนโลยี ทั้งวิชาพื้นฐานและวิชาเพิ่มเติม รวมกัน ไม่ต่ำกว่า 22.00 หน่วยกิต (6 ภาคเรียน)
3. หน่วยกิตกลุ่มสาระการเรียนรู้คณิตศาสตร์ ทั้งวิชาพื้นฐานและวิชาเพิ่มเติม รวมกัน ไม่ต่ำกว่า 12.00 หน่วยกิต (6 ภาคเรียน)
4. หน่วยกิตกลุ่มสาระการเรียนรู้ภาษาต่างประเทศ (ภาษาอังกฤษ) ไม่ต่ำกว่า 9.00 หน่วยกิต (6 ภาคเรียน)
5. ผลการเรียนเฉลี่ยสะสม (GPAX) 5 ภาคเรียน ไม่ต่ำกว่า 3.00
6. คะแนนเฉลี่ยรายวิชากลุ่มสาระการเรียนรู้คณิตศาสตร์ รวม 5 ภาคเรียน ไม่ต่ำกว่า 3.00
7. คะแนนเฉลี่ยในรายวิชาฟิสิกส์ รวม 5 ภาคเรียน ไม่ต่ำกว่า 3.00
8. มีแฟ้มสะสมผลงาน (Portfolio) ที่แสดงข้อมูล ดังนี้ ข้อใดข้อหนึ่ง 8.1) ผลงานการประดิษฐ์ ผลการแข่งขัน หรือผลการประกวดที่เกี่ยวข้องกับคณิตศาสตร์ วิทยาศาสตร์ หรือเทคโนโลยีในระดับมัธยมศึกษาตอนปลาย 8.2) มีประวัติการเข้าร่วมกิจกรรม ค่าย หรือการประกวดที่จัดโดยภาควิชา/คณะวิศวกรรมศาสตร์ มหาวิทยาลัยเกษตรศาสตร์
9. TGAT ความถนัดทั่วไป ไม่ต่ำกว่า 1.00 คะแนน
10. TPAT3 ความถนัดวิทยาศาสตร์ เทคโนโลยี วิศวกรรมศาสตร์ ไม่ต่ำกว่า 1.00 คะแนน","1. TGAT ความถนัดทั่วไป
2. TPAT3 ความถนัดวิทยาศาสตร์ เทคโนโลยี วิศวกรรมศาสตร์
3. การสอบสัมภาษณ์"
วศ.บ. สาขาวิชาวิศวกรรมไฟฟ้า (ภาษาไทย พิเศษ),15,"1. กำลังศึกษาชั้นมัธยมศึกษาปีที่ 6 หรือเทียบเท่า
2. หน่วยกิตกลุ่มสาระการเรียนรู้วิทยาศาสตร์ ทั้งวิชาพื้นฐานและวิชาเพิ่มเติม รวมกัน ไม่ต่ำกว่า 22.00 หน่วยกิต (6 ภาคเรียน)
3. หน่วยกิตกลุ่มสาระการเรียนรู้คณิตศาสตร์ ทั้งวิชาพื้นฐานและวิชาเพิ่มเติม ไม่ต่ำกว่า 12.00 หน่วยกิต (6 ภาคเรียน)
4. หน่วยกิตกลุ่มสาระการเรียนรู้ภาษาต่างประเทศ (ภาษาอังกฤษ) ไม่ต่ำกว่า 9.00 หน่วยกิต (6 ภาคเรียน)
5. ผลการเรียนเฉลี่ยสะสม (GPAX) 5 ภาคเรียน ไม่ต่ำกว่า 2.75
6. คะแนนเฉลี่ยรายวิชากลุ่มสาระการเรียนรู้คณิตศาสตร์ รวม 5 ภาคเรียน ไม่ต่ำกว่า 3.00
7. ผลการเรียนเฉลี่ยรวมในรายวิชาฟิสิกส์ รวม 5 ภาคเรียน ไม่ต่ำกว่า 3.00
8. มีแฟ้มสะสมผลงาน (Portfolio) ที่แสดงข้อมูล ดังนี้ ข้อใดข้อหนึ่ง 8.1) ผลงานการประดิษฐ์ ผลการแข่งขัน หรือผลการประกวดที่เกี่ยวข้องกับคณิตศาสตร์ วิทยาศาสตร์ หรือเทคโนโลยีในระดับมัธยมศึกษาตอนปลาย 8.2) มีประวัติการเข้าร่วมกิจกรรม ค่าย หรือการประกวดที่จัดโดยภาควิชา/คณะวิศวกรรมศาสตร์ มหาวิทยาลัยเกษตรศาสตร์
9. TGAT ความถนัดทั่วไป ไม่ต่ำกว่า 1.00 คะแนน
10. TPAT3 ความถนัดวิทยาศาสตร์ เทคโนโลยี วิศวกรรมศาสตร์ ไม่ต่ำกว่า 1.00 คะแนน","1. TGAT ความถนัดทั่วไป
2. TPAT3 ความถนัดวิทยาศาสตร์ เทคโนโลยี วิศวกรรมศาสตร์
3. การสอบสัมภาษณ์"
วศ.บ. สาขาวิชาวิศวกรรมโยธา (ภาษาไทย ปกติ),25,"1. กำลังศึกษาหรือสำเร็จศึกษาชั้นมัธยมศึกษาปีที่ 6 หรือเทียบเท่า
2. หน่วยกิตกลุ่มสาระการเรียนรู้วิทยาศาสตร์ ทั้งรายวิชาพื้นฐานและรายวิชาเพิ่มเติม รวมกัน ไม่ต่ำกว่า 22.00 หน่วยกิต (6 ภาคเรียน)
3. หน่วยกิตกลุ่มสาระการเรียนรู้คณิตศาสตร์ ทั้งรายวิชาพื้นฐานและรายวิชาเพิ่มเติม รวมกัน ไม่ต่ำกว่า 12.00 หน่วยกิต (6 ภาคเรียน)
4. หน่วยกิตกลุ่มสาระการเรียนรู้ภาษาต่างประเทศ (ภาษาอังกฤษ) ไม่ต่ำกว่า 9.00 หน่วยกิต (6 ภาคเรียน)
5. ผลการเรียนเฉลี่ยสะสม (GPAX) 5 ภาคเรียน ไม่ต่ำกว่า 3.25
6. คะแนนเฉลี่ยรายวิชากลุ่มสาระการเรียนรู้คณิตศาสตร์ รวม 5 ภาคเรียน ไม่ต่ำกว่า 3.00
7. คะแนนเฉลี่ยรายวิชาฟิสิกส์ รวม 5 ภาคเรียน ไม่ต่ำกว่า 3.00
8. มีแฟ้มสะสมผลงาน (Portfolio) ที่แสดงข้อมูล ดังนี้ ข้อใดข้อหนึ่ง 8.1) ผลงานการประดิษฐ์ ผลการแข่งขัน หรือผลการประกวดเกี่ยวข้องกับคณิตศาสตร์ วิทยาศาสตร์ หรือเทคโนโลยีในระดับมัธยมศึกษาตอนปลาย 8.2) มีประวัติการเข้าร่วมกิจกรรม ค่าย หรือการประกวดที่จัดโดยภาควิชา/คณะวิศวกรรมศาสตร์ มหาวิทยาลัยเกษตรศาสตร์
9. TGAT ความถนัดทั่วไป ไม่ต่ำกว่า 1.00 คะแนน
10. TPAT3 ความถนัดวิทยาศาสตร์ เทคโนโลยี วิศวกรรมศาสตร์ ไม่ต่ำกว่า 1.00 คะแนน","1. TGAT ความถนัดทั่วไป
2. TPAT3 ความถนัดวิทยาศาสตร์ เทคโนโลยี วิศวกรรมศาสตร์
3. การสอบสัมภาษณ์"
วศ.บ. สาขาวิชาวิศวกรรมโยธา-ทรัพยากรน้ำ (ภาษาไทย ปกติ),5,"1. กำลังศึกษาหรือสำเร็จศึกษาชั้นมัธยมศึกษาปีที่ 6 หรือเทียบเท่า
2. หน่วยกิตกลุ่มสาระการเรียนรู้วิทยาศาสตร์ ไม่ต่ำกว่า 22.00 หน่วยกิต (6 ภาคเรียน)
3. หน่วยกิตกลุ่มสาระการเรียนรู้คณิตศาสตร์ ไม่ต่ำกว่า 12.00 หน่วยกิต (6 ภาคเรียน)
4. หน่วยกิตกลุ่มสาระการเรียนรู้ภาษาต่างประเทศ ไม่ต่ำกว่า 9.00 หน่วยกิต (6 ภาคเรียน)
5. ผลการเรียนเฉลี่ยสะสม (GPAX) 5 ภาคเรียน ไม่ต่ำกว่า 3.00
6. ผลการเรียนเฉลี่ยรวมในกลุ่มสาระการเรียนรู้คณิตศาสตร์ ฟิสิกส์ เคมี และภาษาอังกฤษ (5 ภาคเรียน) ไม่ต่ำกว่า 3.25
7. มีแฟ้มสะสมผลงาน (Portfolio) ที่แสดงข้อมูล ดังนี้ ข้อใดข้อหนึ่ง 7.1) ผู้ที่มี GPAX อยู่ในลำดับที่ 1 – 20 ของโรงเรียน (โดยมีหนังสือรับรองจากโรงเรียน) หรือมีผลการแสดงความสามารถพิเศษโดดเด่นทางด้านวิศวกรรมศาสตร์ที่ได้รับการรับรองจากหน่วยงานซึ่งเป็นที่ยอมรับ หรือการแข่งขันโครงงานคณิตศาสตร์หรือวิทยาศาสตร์ในระดับมัธยมศึกษาตอนปลาย จะได้รับการพิจารณาเป็นกรณีพิเศษ 7.2) มีประวัติการเข้าร่วมกิจกรรม ค่าย หรือการประกวดที่จัดโดยภาควิชา/คณะวิศวกรรมศาสตร์ มหาวิทยาลัยเกษตรศาสตร์
8. TGAT ความถนัดทั่วไป ไม่ต่ำกว่า 1.00 คะแนน
9. TPAT3 ความถนัดวิทยาศาสตร์ เทคโนโลยี วิศวกรรมศาสตร์ ไม่ต่ำกว่า 1.00 คะแนน","1. TGAT ความถนัดทั่วไป
2. TPAT3 ความถนัดวิทยาศาสตร์ เทคโนโลยี วิศวกรรมศาสตร์
3. การสอบสัมภาษณ์"
